Query_number,doc_number
1,136750
1,77558
1,286056
1,54686
1,302395
1,424647
1,91928
1,94850
1,108402
1,316860
2,297808
2,52192
2,43555
2,427690
2,389103
2,376820
2,284860
2,404100
2,27329
2,312367
3,393818
3,7934
3,5024
3,389228
3,412243
3,240492
3,253160
3,77125
3,412208
3,469085
4,24645
4,68058
4,368176
4,282477
4,382280
4,400411
4,237694
4,282143
4,446384
4,147717
5,275177
5,472035
5,283304
5,295851
5,419558
5,213425
5,81853
5,88743
5,171941
5,11766
6,248947
6,262708
6,85102
6,342088
6,176271
6,154197
6,294577
6,115963
6,353204
6,189568
7,339379
7,280344
7,422407
7,16342
7,29840
7,341340
7,386215
7,148588
7,335957
7,431603
8,415854
8,192655
8,403438
8,55341
8,323435
8,334887
8,376945
8,102418
8,95204
8,296175
9,95059
9,382221
9,99688
9,363675
9,258409
9,325779
9,498709
9,359521
9,486865
9,102770
10,297761
10,67533
10,89072
10,205076
10,169545
10,421621
10,218438
10,285915
10,294810
10,340377
11,165171
11,155218
11,168974
11,327705
11,49893
11,427902
11,457800
11,431779
11,17238
11,33782
12,347188
12,250938
12,162406
12,3976
12,267626
12,365469
12,235122
12,255402
12,384837
12,34401
13,445236
13,164486
13,412373
13,429187
13,490185
13,38966
13,163563
13,29308
13,79603
13,3482
14,482219
14,212878
14,98162
14,52967
14,426510
14,262708
14,341499
14,315346
14,99851
14,60901
15,53396
15,14387
15,206700
15,331793
15,184067
15,405104
15,271330
15,34553
15,94238
15,346231
16,162017
16,163203
16,462698
16,82123
16,475388
16,368222
16,40610
16,72839
16,20242
16,489931
17,429186
17,419231
17,293417
17,280811
17,107586
17,69752
17,451448
17,417006
17,476354
17,190614
18,179059
18,426872
18,96953
18,19726
18,297309
18,223887
18,131612
18,13449
18,459228
18,449066
19,50831
19,420615
19,414885
19,342368
19,461914
19,7174
19,32323
19,34214
19,109252
19,299687
20,367237
20,292650
20,439506
20,161464
20,468119
20,204672
20,60258
20,311161
20,217913
20,321428
21,131267
21,218008
21,229100
21,367532
21,250951
21,73600
21,325730
21,127566
21,482134
21,108180
22,203340
22,346310
22,113758
22,278511
22,33323
22,257469
22,26765
22,139205
22,163465
22,194090
23,92263
23,207390
23,419893
23,332471
23,303247
23,54983
23,340882
23,163112
23,129160
23,164998
24,281834
24,320100
24,156761
24,238510
24,15626
24,345546
24,29228
24,283472
24,467061
24,235188
25,150286
25,100578
25,181510
25,381308
25,245817
25,194888
25,10519
25,236969
25,364839
25,87384
26,94651
26,292416
26,486604
26,314902
26,378193
26,88548
26,39234
26,334314
26,477479
26,69218
27,313134
27,279448
27,268658
27,270037
27,437129
27,108928
27,287631
27,178744
27,133067
27,193248
28,292675
28,440642
28,67638
28,157428
28,328501
28,357309
28,412889
28,484493
28,204911
28,48039
29,134929
29,448073
29,177542
29,174789
29,215162
29,229075
29,83069
29,176132
29,475320
29,124339
30,407399
30,290351
30,74334
30,417154
30,458067
30,365299
30,171306
30,180066
30,247586
30,387457
31,323226
31,426330
31,279406
31,110763
31,81101
31,88079
31,68682
31,229783
31,75022
31,263789
32,268166
32,6336
32,343798
32,2008
32,323197
32,75538
32,486975
32,444490
32,138552
32,276378
33,180557
33,272650
33,182309
33,374817
33,199273
33,79997
33,143535
33,348784
33,370520
33,344066
34,485600
34,486155
34,22255
34,228901
34,139388
34,124399
34,465743
34,486981
34,119881
34,479030
35,388582
35,122496
35,63958
35,368449
35,42514
35,484498
35,14169
35,255934
35,114984
35,187261
36,394974
36,210099
36,268490
36,424466
36,387108
36,367447
36,68452
36,250789
36,130490
36,245994
37,89540
37,161112
37,256130
37,11073
37,315284
37,38642
37,321799
37,202949
37,380502
37,360092
38,212820
38,48684
38,99750
38,459931
38,435090
38,172767
38,405600
38,350796
38,498709
38,157086
39,352537
39,206459
39,270699
39,294135
39,81733
39,92433
39,363436
39,161205
39,219522
39,226012
40,234582
40,145319
40,100858
40,321141
40,80236
40,194739
40,90906
40,407702
40,123402
40,497428
41,231053
41,460589
41,15039
41,91477
41,462945
41,385808
41,486591
41,367196
41,405407
41,270625
42,432158
42,208993
42,132139
42,381527
42,142522
42,122219
42,225657
42,341037
42,192717
42,247726
43,270062
43,52999
43,165246
43,351331
43,456235
43,171753
43,6314
43,255168
43,83165
43,328713
44,491003
44,491788
44,22010
44,176656
44,328455
44,493178
44,172265
44,431730
44,395705
44,388795
45,38743
45,83702
45,405303
45,14995
45,442678
45,402463
45,377510
45,239442
45,39299
45,23547
46,117779
46,340499
46,419
46,163370
46,327547
46,189192
